Order,Family,Genus,species,tree.name,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus_hottentotus,30,30,,XY,,Animal Karyotype Book,Bronner 1995a
Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,Chlorotalpa_duthieae,30,30,,XY,,Animal Karyotype Book,Bronner 1995a
Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,Chlorotalpa_sclateri,30,30,,XY,,Animal Karyotype Book,Bronner 1995a
Afrosoricida,Chrysochloridae,Amblysomus,iris,Amblysomus_iris,34,34,,XY,,Animal Karyotype Book,Capanna et al. 1989
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,40,40,,XY,,Animal Karyotype Book,Benirschke 1969
Artiodactyla,Cervidae,Muntiacus,muntjak vaginalis,Muntiacus_muntjak vaginalis,6,7,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Burkin et al. 1997
Artiodactyla,Cervidae,Muntiacus,crinifrons,Muntiacus_crinifrons,8,9,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Fu and Yang (Unpublished)
Artiodactyla,Cervidae,Muntiacus,gongshanensis,Muntiacus_gongshanensis,8,9,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Fu and Yang (Unpublished)
Artiodactyla,Cervidae,Muntiacus,feae,Muntiacus_feae,13,14,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,Huang et al. 2006b
Artiodactyla,Tayassuidae,Catagonus,wagneri,Catagonus_wagneri,20,20,,XY,,Animal Karyotype Book,Benirschke and Kumamoto 1989
Artiodactyla,Tayassuidae,Tayassu,pecari,Tayassu_pecari,26,26,,XY,,Animal Karyotype Book,Benirschke and Kumamoto 1989
Artiodactyla,Bovidae,Raphicerus,campestris,Raphicerus_campestris,30,30,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Giraffidae,Giraffa,camelopardalis tippelskirchi,Giraffa_camelopardalis tippelskirchi,30,30,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,subgutturosa subgutturosa,Gazella_subgutturosa subgutturosa,32,31,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Taurotragus,derbianus,Taurotragus_derbianus,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Bovidae,Taurotragus,oryx pattersonianus,Taurotragus_oryx pattersonianus,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Tragelaphus_strepsiceros,32,32,,XY,,Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Tragulidae,Tragulus,javanicus,Tragulus_javanicus,32,32,,XY,,Animal Karyotype Book,Gallagher et al. 1996
Artiodactyla,Bovidae,Gazella,cuvieri,Gazella_cuvieri,32,33,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Tragelaphus,eurycerus,Tragelaphus_eurycerus,34,33,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Suidae,Phacochoerus,africanus sundervallii,Phacochoerus_africanus sundervallii,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Potamochoerus,larvatus,Potamochoerus_larvatus,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Potamochoerus,porcus,Potamochoerus_porcus,34,34,,XY,,Animal Karyotype Book,Musilova et al. 2010
Artiodactyla,Suidae,Sus,cebifrons,Sus_cebifrons,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Damaliscus,lunatus topi,Damaliscus_lunatus topi,36,36,,XY,,Animal Karyotype Book,Kumamoto et al. 1996
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus_amphibius,36,36,,XY,,Animal Karyotype Book,Kulemzima et al. 2009
Artiodactyla,Suidae,Sus,scrofa scrofa,Sus_scrofa scrofa,36,36,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Damaliscus,pygargus phillipsi,Damaliscus_pygargus phillipsi,38,38,,XY,,Animal Karyotype Book,Kumamoto et al. 1996
Artiodactyla,Bovidae,Tragelaphus,imberbis,Tragelaphus_imberbis,38,38,,XY,,Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Suidae,Babyrousa,babyrussa celebensis,Babyrousa_babyrussa celebensis,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Sus,barbatus,Sus_barbatus,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Sus,scrofa domestica,Sus_scrofa domestica,38,38,,XY,,Animal Karyotype Book,Biltueva et al. 2004
Artiodactyla,Bovidae,Alcephalus,buselaphus jacksoni,Alcephalus_buselaphus jacksoni,40,40,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Balaenidae,Balena,mysticetus,Balena_mysticetus,42,42,,XY,,Animal Karyotype Book,Jarelle 1979
Artiodactyla,Balaenopteridae,Balaenoptera,physalus,Balaenoptera_physalus,42,42,,XY,,Animal Karyotype Book,Arnason 1974a
Artiodactyla,Physeteridae,Physeter,macrocephalus,Physeter_macrocephalus,42,42,,XY,,Animal Karyotype Book,Arnason and Benirscke 1973
Artiodactyla,Ziphiidae,Mesoplodon,carlhubbsi,Mesoplodon_carlhubbsi,42,42,,XY,,Animal Karyotype Book,Arnason et al. 1977
Artiodactyla,Ziphiidae,Mesoplodon,europaeus,Mesoplodon_europaeus,42,42,,XY,,Animal Karyotype Book,Arnason et al. 1977
Artiodactyla,Balaenopteridae,Balaenoptera,musculus,Balaenoptera_musculus,44,44,,XY,,Animal Karyotype Book,Arnason and Widegren 1989
Artiodactyla,Balaenopteridae,Megaptera,novaeangliae,Megaptera_novaeangliae,44,44,,XY,,Animal Karyotype Book,Arnason 1974a
Artiodactyla,Bovidae,Damaliscus,hunteri,Damaliscus_hunteri,44,44,,XY,,Animal Karyotype Book,Kumamoto et al. 1996
Artiodactyla,Delphinidae,Delphinus,delphis,Delphinus_delphis,44,44,,XY,,Animal Karyotype Book,Arnason 1974a
Artiodactyla,Delphinidae,Globicephala,macrorhynchus,Globicephala_macrorhynchus,44,44,,XY,,Animal Karyotype Book,Arnason 1974a
Artiodactyla,Delphinidae,Lagenorhynchus,albirostris,Lagenorhynchus_albirostris,44,44,,XY,,Animal Karyotype Book,Arnason 1980
Artiodactyla,Delphinidae,Stenella,attenuata,Stenella_attenuata,44,44,,XY,,Animal Karyotype Book,Stock 1981
Artiodactyla,Delphinidae,Stenella,clymene,Stenella_clymene,44,44,,XY,,Animal Karyotype Book,Arnason 1980
Artiodactyla,Delphinidae,Stenella,dubia,Stenella_dubia,44,44,,XY,,Animal Karyotype Book,Arnason 1974c
Artiodactyla,Eschrichtiidae,Eschrichtius,robustus,Eschrichtius_robustus,44,44,,XY,,Animal Karyotype Book,Arnason 1981a
Artiodactyla,Lipotidae,Lipotes,vexillifer,Lipotes_vexillifer,44,44,,XY,,Animal Karyotype Book,Minrong et al. 1986
Artiodactyla,Monodontidae,Delphinapterus,leucas,Delphinapterus_leucas,44,44,,XY,,Animal Karyotype Book,Jarrell and Arnason 1981
Artiodactyla,Bovidae,Bubalus,depressicornis,Bubalus_depressicornis,48,48,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Kobus,leche,Kobus_leche,48,48,,XY,,Animal Karyotype Book,Kingswood et al. 2000
Artiodactyla,Bovidae,Kobus,kob thomasi,Kobus_kob thomasi,50,50,,XY,,Animal Karyotype Book,Kingswood et al. 2000
Artiodactyla,Bovidae,Budorcas,taxicolor,Budorcas_taxicolor,52,52,,XY,,Animal Karyotype Book,Rubes et al. 2012
Artiodactyla,Bovidae,Kobus,megaceros,Kobus_megaceros,52,52,,XY,,Animal Karyotype Book,Kingswood et al. 2000
Artiodactyla,Bovidae,Ovis,canadensis,Ovis_canadensis,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Ovis,orientalis musimon,Ovis_orientalis musimon,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Tragelaphus,angasii,Tragelaphus_angasii,54,55,,complex XY,"X/X, X/Y/A",Animal Karyotype Book,Rubes et al. 2008
Artiodactyla,Bovidae,Antidorcas,marsupialis,Antidorcas_marsupialis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Naemorhedus,goral,Naemorhedus_goral,56,56,,XY,,Animal Karyotype Book,Biltueva and Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Pelea,capreolus,Pelea_capreolus,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Pseudois,nayaur szechuanensis,Pseudois_nayaur szechuanensis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Cervus,unicolor malaccensis,Cervus_unicolor malaccensis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Addax,nasomaculatus,Addax_nasomaculatus,58,58,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Bos,frontalis (gaurus),Bos_frontalis (gaurus),58,58,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Connochaetes,taurinus albojubatus,Connochaetes_taurinus albojubatus,58,58,,XY,,Animal Karyotype Book,Rubes et al. 2012
Artiodactyla,Bovidae,Gazella,rufifrons laevipes,Gazella_rufifrons laevipes,58,58,,XY,rujuvenation of autosome to sex chromosomes,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Oryx,gazella beisa,Oryx_gazella beisa,58,58,,XY,,Animal Karyotype Book,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,gazella callotis,Oryx_gazella callotis,58,58,,XY,,Animal Karyotype Book,Kumamoto et al. 1999
Artiodactyla,Moschidae,Moschus,moschiferus,Moschus_moschiferus,58,58,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Bison,bonasus,Bison_bonasus,60,60,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Bos,grunniens,Bos_grunniens,60,60,,XY,,Animal Karyotype Book,Craphodatsky and Biltueva (Unpublished)
Artiodactyla,Bovidae,Bos,javanicus,Bos_javanicus,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Capra,cylindricornis,Capra_cylindricornis,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Capra,pyrenaica hispanica,Capra_pyrenaica hispanica,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished)
