2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h
0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65774995653044,0
1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0,6.79527941623249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99926972085189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77837831780052,0
